nsites,nelements,volume,density,density_atomic
8,2,371.9363181,3.819807338,46.49203977
9,4,120.7369974,4.137404386,13.41522193
14,4,186.0165437,3.425217636,13.28689598
48,4,2078.391789,4.330437514,43.29982895
12,3,132.475037,10.22986736,11.03958642
2,2,43.62136101,12.53370613,21.8106805
4,3,106.8476397,5.90633784,26.71190993
10,4,294.4367199,2.715888986,29.44367199
16,4,381.6566883,3.23050571,23.85354302
6,3,96.37355017,11.16325122,16.06225836
24,3,202.9635514,2.118142512,8.456814641
22,4,729.0111696,6.356100166,33.13687134
32,4,287.6936886,4.173091818,8.990427769
80,4,1120.696773,6.208417158,14.00870966
20,5,277.3354676,7.125644419,13.86677338
10,3,515.5287085,3.423277623,51.55287085
40,3,723.7414554,4.320957443,18.09353638
32,4,294.300966,4.079402777,9.196905187
4,3,51.40818339,8.920965269,12.85204585
18,5,452.3614324,2.842413351,25.13119069
64,3,998.2652402,3.802402581,15.59789438
8,4,257.7644477,5.530476299,32.22055596
26,3,263.0172373,4.311049342,10.11604759
46,5,612.3330279,2.201962896,13.31158756
14,3,185.882561,2.439502674,13.27732579
6,2,81.48287468,14.50557682,13.58047911
10,4,152.7782643,12.72724551,15.27782643
20,3,459.3685815,4.37430509,22.96842908
4,3,80.29677648,7.093928007,20.07419412
32,4,426.7258917,2.94093656,13.33518412
32,3,320.89715,4.216279124,10.02803594
4,2,112.8573697,9.601714346,28.21434242
33,3,632.8310486,3.43898821,19.17669844
32,5,754.3719088,2.258495166,23.57412215
84,4,2461.256434,2.674913138,29.30067184
44,4,1548.818549,5.090305848,35.20042158
24,4,355.0833583,4.877317388,14.79513993
4,3,74.68701073,14.03267076,18.67175268
14,3,138.9107949,4.410998769,9.922199637
96,4,852.4576888,3.525063076,8.879767592
32,4,601.6339867,4.085789427,18.80106209
4,3,73.22723165,13.53171987,18.30680791
84,5,1035.971535,1.678454122,12.33299447
36,4,421.7343898,3.015578823,11.71484416
18,3,249.0548889,6.885345519,13.83638272
16,3,259.2000495,4.484833281,16.20000309
